ID;Job tenure;Age;Car price;Funding amount;Down payment;Loan duration;Monthly payment;Credit event;Married;Homeowner;Default (y);Pred_default (y_hat);PD;Group
5388;3;31;15590;16916;0;60;0,1223;0;0;1;1;0;0,1880;0
5389;6;40;10430;10430;0;48;0,0712;1;0;1;0;0;0,4048;0
5390;12;55;15495;11495;0;60;0,1424;0;0;1;1;0;0,0157;0
5391;5;53;24500;10927;0;72;0,1230;0;1;0;0;0;0,0071;0
5392;2;46;5200;5584;0;36;0,0569;0;0;0;0;0;0,3713;0
5393;1;18;10990;11822;0;48;0,1106;0;0;0;1;1;0,6644;0
5394;1;44;8990;8784;0;72;0,0568;0;0;1;0;0;0,1520;0
5395;13;58;7900;6732;0;84;0,0625;0;0;0;0;0;0,2110;0
5396;34;51;14990;4490;1;24;0,1582;0;0;1;0;0;0,0022;0
5397;15;35;6791;3822;0;48;0,0085;0;1;1;0;0;0,0350;1
5398;16;52;19800;14658;0;84;0,0762;0;0;0;0;0;0,0204;0
5399;2;54;9750;6051;0;36;0,0712;0;1;0;0;0;0,1386;0
5400;0;19;13900;15766;0;96;0,1131;0;1;0;0;1;0,6588;0
5401;13;82;13480;13858;0;36;0,2609;0;0;0;1;1;0,6806;0
5402;36;53;7210;8443;0;72;0,0544;0;1;1;1;0;0,3163;1
5403;19;60;9195;9824;0;60;0,1573;0;1;1;0;0;0,2148;1
5404;6;69;13300;5300;1;48;0,0733;0;1;0;0;0;0,0257;1
5405;3;25;18000;19599;0;60;0,0975;0;0;0;1;1;0,5809;0
5406;0;53;13990;15226;0;60;0,1006;0;0;0;1;1;0,5861;0
5407;10;34;11825;8311;0;48;0,1247;0;0;1;0;0;0,0404;0
